year,quarter,project_id,budget,total_obligations,total_expenditures,current_obligations,current_expenditures
2022,Q1,ARP-0011-PHW,"$2,603,100.00 ","$1,396,699.53 ","$1,396,699.53 ","$1,396,699.53 ","$1,396,699.53 "
2022,Q1,ARP-0013-PHW,"$330,250.00 ","$2,970.00 ","$2,970.00 ",$0.00 ,$0.00 
2022,Q1,ARP-0009-PHW,"$312,000.00 ",$36.05 ,$36.05 ,$0.00 ,$0.00 
2022,Q1,ARP-0006-PHW,"$1,201,900.00 ","$1,169,174.73 ","$232,965.73 ","$509,845.53 ","$155,725.53 "
2022,Q1,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$478,404.28 ",$0.00 ,"$342,174.47 "
2022,Q1,ARP-0004-ECD,"$1,000,000.00 ","$1,000,000.00 ","$447,471.64 ",$0.00 ,"$224,531.86 "
2022,Q1,ARP-0007-PHW,"$5,965,950.00 ","$3,479,452.33 ","$3,442,452.33 ","$2,031,986.47 ","$2,031,986.47 "
2022,Q1,ARP-0010-PHW,"$2,870,400.00 ","$2,421,378.64 ","$2,278,091.14 ","$343,808.25 ","$225,520.75 "
2022,Q1,ARP-0010-PHW-FY21,"$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ",$0.00 ,$0.00 
2021,Q4,ARP-0007-PHW,"$1,447,465.86 ","1,447,465.86","1,410,465.86","1,447,465.86","1,410,465.86"
2021,Q4,ARP-0004-ECD,"$1,000,000.00 ","$1,000,000.00 ","$222,939.78 ","$1,000,000.00 ","$222,939.78 "
2021,Q4,ARP-0003-DEL,"$1,000,000.00 ","$1,000,000.00 ","$136,229.81 ","$1,000,000.00 ","$136,229.81 "
2021,Q4,ARP-0010-PHW-FY21,"$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 ","$3,832,084.40 "
2021,Q4,ARP-0006-PHW,"$659,329.20 ","$659,329.20 ","$77,240.20 ","$659,329.20 ","$77,240.20 "
2021,Q4,ARP-0009-PHW,$36.05 ,$36.05 ,$36.05 ,$36.05 ,$36.05 
2021,Q4,ARP-0013-PHW,"$2,970.00 ","$2,970.00 ","$2,970.00 ","$2,970.00 ","$2,970.00 "
2021,Q4,ARP-0010-PHW,"$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 ","$2,077,570.39 "
2021,Q4,ARP-0011-PHW,"$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 ","$1,020,281.91 "
2021,Q4,ARP-0014-PHW,"$225,000.00 ","$225,000.00 ","$104,151.98 ","$225,000.00 ","$104,151.98 "
2021,Q4,ARP-0018-RCS,"$4,829,824.30 ","$4,829,824.30 ","$3,286,977.25 ","$4,829,824.30 ","$3,286,977.25 "
2021,Q4,ARP-0017-PHW,"$21,340.94 ","$21,340.94 ","$21,340.94 ","$21,340.94 ","$21,340.94 "
2021,Q4,ARP-0028-OMB,"$252,500.00 ","$252,500.00 ","$252,500.00 ","$252,500.00 ","$252,500.00 "
2021,Q4,ARP-0027-OMB,"$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 ","$10,174,625.00 "
2021,Q4,ARP-0040-YTS,$407.16 ,$407.16 ,$407.16 ,$407.16 ,$407.16 
2021,Q4,ARP-0001-DEL,"$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 ","$9,850,158.23 "
2021,Q4,ARP-0005-PHW,"$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 ","$1,485,117.07 "
