State,City,Allocation,
Florida,Panama City,"$10,087,173.00",
Florida,Pembroke Pines,"$25,463,361.00",
Florida,Pensacola,"$19,153,643.00",
Florida,Pinellas Park,"$9,685,810.00",
Florida,Plantation,"$13,042,828.00",
Florida,Pompano Beach,"$25,694,057.00",
Florida,Port Orange,"$9,981,987.00",
Florida,Port St Lucie,"$24,739,425.00",
Florida,Punta Gorda city,"$2,445,907.00",
Florida,Sanford,"$13,240,884.00",
Florida,Sarasota,"$10,123,762.00",
Florida,Sebastian City,"$3,332,127.00",
Florida,Sebring city,"$2,915,991.00",
Florida,St Petersburg,"$45,413,871.00",
Florida,St. Cloud City,"$8,780,823.00",
Florida,Sunrise,"$17,326,004.00",
Florida,Tallahassee,"$46,468,128.00",
Florida,Tamarac,"$10,897,007.00",
Florida,Tampa,"$80,373,543.00",
Florida,Titusville,"$8,607,193.00",
Florida,Venice city,"$2,483,031.00",
Florida,Vero Beach city,"$2,562,386.00",
Florida,Wellington,"$7,376,577.00",
Florida,West Palm Beach,"$24,530,823.00",
Florida,Weston City,"$8,173,762.00",
Florida,Winter Haven city,"$7,776,962.00",
Georgia,Albany,"$20,398,505.00",
Georgia,Alpharetta city,"$6,644,511.00",
Georgia,Athens-Clarke County,"$32,662,051.00",
Georgia,Atlanta,"$170,928,821.00",
Georgia,Augusta-Richmond County,"$43,012,121.00",
Georgia,Brookhaven,"$8,471,155.00",
Georgia,Brunswick,"$9,212,262.00",
Georgia,Columbus-Muscogee County,"$40,456,205.00",
Georgia,Dalton,"$8,873,412.00",
Georgia,Gainesville,"$11,718,342.00",
Georgia,Hinesville,"$6,569,056.00",
Georgia,Johns Creek city,"$7,076,181.00",
Georgia,Macon-Bibb County,"$46,115,570.00",
Georgia,Marietta,"$11,180,581.00",
Georgia,Rome,"$11,546,686.00",
Georgia,Roswell,"$11,374,757.00",
Georgia,Sandy Springs City,"$13,868,305.00",
Georgia,Savannah,"$55,591,247.00",
Georgia,Smyrna City,"$7,995,546.00",
Georgia,South Fulton,"$11,352,517.00",
Georgia,Stonecrest city,"$9,730,045.00",
Georgia,Valdosta,"$16,254,692.00",
Georgia,Warner Robins,"$15,026,496.00",
Hawaii,Honolulu,"$196,954,703.00",
Idaho,Boise,"$36,904,682.00",
Idaho,Caldwell City,"$12,481,887.00",
Idaho,Coeur D'Alene,"$8,659,329.00",
Idaho,Idaho Falls,"$10,570,717.00",
Idaho,Lewiston,"$5,709,318.00",
Idaho,Meridian,"$12,845,509.00",
Idaho,Nampa,"$17,511,452.00",
Idaho,Pocatello,"$10,700,496.00",
Idaho,Twin Falls,"$8,465,111.00",
Illinois,Alton City,"$21,639,201.00",
Illinois,Arlington Heights,"$6,772,596.00",
Illinois,Aurora,"$35,221,280.00",
Illinois,Belleville,"$15,792,501.00",
Illinois,Berwyn,"$31,943,759.00",
Illinois,Bloomington,"$13,386,924.00",
Illinois,Bolingbrook,"$9,140,140.00",
Illinois,Carbondale city,"$7,858,667.00",
Illinois,Champaign,"$25,277,693.00",
Illinois,Chicago,"$1,886,591,388.00",
Illinois,Chicago Heights,"$13,654,940.00",
Illinois,Cicero,"$42,882,464.00",
Illinois,Danville,"$24,704,857.00",
Illinois,Decatur,"$33,822,135.00",
Illinois,Dekalb,"$10,422,954.00",
Illinois,Des Plaines,"$7,787,945.00",
Illinois,Downers Grove,"$4,916,120.00",
Illinois,East St Louis,"$36,379,844.00",
Illinois,Elgin,"$19,501,332.00",
Illinois,Evanston,"$43,173,654.00",
Illinois,Granite City,"$16,872,443.00",
Illinois,Hoffman Estates,"$5,634,310.00",
Illinois,Joliet,"$22,207,675.00",
Illinois,Kankakee,"$15,052,449.00",
Illinois,Marion city,"$3,468,236.00",
Illinois,Moline,"$20,783,977.00",
Illinois,Mount Prospect,"$7,027,870.00",
Illinois,Naperville,"$13,308,689.00",
Illinois,Normal,"$10,879,113.00",
Illinois,North Chicago,"$6,271,106.00",
Illinois,Oak Lawn,"$7,750,640.00",
Illinois,Oak Park,"$38,984,402.00",
Illinois,Orland Park village,"$5,004,738.00",
Illinois,Palatine Village,"$12,012,529.00",
Illinois,Pekin,"$11,110,631.00",
Illinois,Peoria,"$47,089,976.00",
Illinois,Rantoul,"$8,052,698.00",
Illinois,Rock Island,"$26,506,259.00",
Illinois,Rockford,"$54,822,355.00",
Illinois,Schaumburg Village,"$9,873,008.00",
Illinois,Skokie,"$15,267,242.00",
Illinois,Springfield,"$33,804,013.00",
Illinois,Tinley Park village,"$6,226,474.00",
Illinois,Urbana,"$12,974,560.00",
Illinois,Waukegan,"$19,705,222.00",
Illinois,Wheaton City,"$4,909,816.00",
Indiana,Anderson,"$23,105,605.00",
Indiana,Bloomington,"$22,144,651.00",
Indiana,Carmel,"$7,522,920.00",
Indiana,Columbus,"$8,570,495.00",
Indiana,East Chicago,"$31,172,909.00",
Indiana,Elkhart,"$18,042,360.00",
Indiana,Evansville,"$64,483,775.00",
Indiana,Fishers city,"$6,900,880.00",
Indiana,Fort Wayne,"$50,815,327.00",
Indiana,Gary,"$80,345,314.00",
Indiana,Goshen,"$6,692,508.00",
Indiana,Greenwood,"$6,616,647.00",
Indiana,Hammond,"$51,395,851.00",
Indiana,Indianapolis,"$232,410,707.00",
Indiana,Kokomo,"$19,893,216.00",
Indiana,La Porte,"$11,476,496.00",
Indiana,Lafayette,"$15,881,059.00",
Indiana,Michigan City,"$16,549,045.00",
Indiana,Mishawaka,"$11,883,602.00",
Indiana,Muncie,"$32,321,058.00",
Indiana,New Albany,"$16,927,916.00",
Indiana,Noblesville city,"$6,212,841.00",
Indiana,South Bend,"$58,910,047.00",
Indiana,Terre Haute,"$35,936,890.00",
Indiana,West Lafayette,"$11,427,539.00",
Iowa,Ames,"$14,257,623.00",
Iowa,Ankeny city,"$6,094,344.00",
Iowa,Cedar Falls,"$6,508,740.00",
Iowa,Cedar Rapids,"$28,190,765.00",
Iowa,Council Bluffs,"$24,810,055.00",
Iowa,Davenport,"$40,896,926.00",
Iowa,Des Moines,"$94,824,614.00",
Iowa,Dubuque,"$26,522,282.00",
Iowa,Iowa City,"$18,325,190.00",
Iowa,Sioux City,"$40,618,687.00",
Iowa,Waterloo,"$30,284,282.00",
Iowa,West Des Moines,"$7,670,872.00",
Kansas,Kansas City,"$55,383,872.00",
Kansas,Lawrence,"$19,301,467.00",
Kansas,Leavenworth,"$8,549,063.00",
Kansas,Lenexa city,"$5,131,584.00",
Kansas,Manhattan City,"$12,757,377.00",
Kansas,Olathe city,"$14,918,491.00",
Kansas,Overland Park,"$18,581,302.00",
Kansas,Shawnee,"$7,564,030.00",
Kansas,Topeka,"$45,676,831.00",
Kansas,Wichita,"$72,422,555.00",
Kentucky,Ashland,"$13,474,388.00",
Kentucky,Bowling Green,"$16,584,849.00",
Kentucky,Covington,"$35,914,130.00",
Kentucky,Elizabethtown,"$5,223,647.00",
Kentucky,Henderson,"$6,345,733.00",
Kentucky,Hopkinsville,"$6,758,997.00",
Kentucky,Lexington-Fayette,"$58,409,570.00",
Kentucky,Louisville-Jefferson County,"$239,362,213.00",
Kentucky,Owensboro,"$13,324,175.00",
Louisiana,Alexandria,"$11,290,002.00",
Louisiana,Baton Rouge,"$79,966,896.00",
Louisiana,Bossier City,"$13,428,592.00",
Louisiana,Hammond city,"$5,242,946.00",
Louisiana,Houma-Terrebonne,"$23,348,003.00",
Louisiana,Kenner,"$13,833,851.00",
Louisiana,Lafayette,"$38,256,658.00",
Louisiana,Lake Charles,"$16,918,986.00",
Louisiana,Monroe,"$18,327,658.00",
Louisiana,New Orleans,"$311,742,151.00",
Louisiana,Shreveport,"$48,240,338.00",
Louisiana,Slidell,"$4,757,764.00",
Louisiana,Thibodaux,"$3,723,957.00",
Maine,Auburn,"$13,545,799.00",
Maine,Bangor,"$20,478,297.00",
Maine,Biddeford,"$9,759,098.00",
Maine,Lewiston,"$20,970,428.00",
Maine,Portland City,"$46,290,652.00",
Maine,South Portland city,"$10,498,362.00",
Maryland,Annapolis,"$7,609,469.00",
Maryland,Baltimore,"$525,891,651.00",
Maryland,Bowie City,"$4,754,210.00",
Maryland,Cumberland,"$19,595,850.00",
Maryland,Frederick,"$10,615,913.00",
